scenario,n_features,accuracy,macro_f1,balanced_accuracy,recall_Low,recall_Medium,recall_High,precision_Low,precision_Medium,precision_High,f1_Low,f1_High
A_original_full,13,0.9222,0.6106,0.5607,0.115,0.9815,0.5855,0.7647,0.9331,0.797,0.2,0.6751
B_core_original,8,0.9207,0.6403,0.5885,0.1858,0.976,0.6036,0.6562,0.9362,0.7667,0.2897,0.6755
C_original_engineered,19,0.9252,0.6567,0.6066,0.2035,0.9764,0.64,0.6216,0.9405,0.7857,0.3067,0.7054
D_core_selected_eng,13,0.9196,0.6489,0.5999,0.2124,0.9727,0.6145,0.6154,0.9377,0.7511,0.3158,0.676
