method,n_train_Low,n_train_Medium,n_train_High,accuracy,macro_f1,balanced_accuracy,recall_Low,recall_Medium,recall_High,precision_Low,precision_Medium,precision_High,f1_Low,f1_Medium,f1_High,status
no_resampling,627,18596,2033,0.9185,0.6365,0.5903,0.1858,0.9723,0.6127,0.5833,0.9369,0.7472,0.2819,0.9543,0.6733,baseline
class_weight_balanced,627,18596,2033,0.9198,0.6145,0.5671,0.1327,0.9777,0.5909,0.6,0.9338,0.7757,0.2174,0.9552,0.6708,comparison_only
random_oversampler,18596,18596,18596,0.9205,0.6828,0.6515,0.3009,0.9627,0.6909,0.5397,0.9474,0.7238,0.3864,0.955,0.707,recommended
smote,18596,18596,18596,0.914,0.7082,0.7193,0.4513,0.9429,0.7636,0.4722,0.9581,0.6677,0.4615,0.9505,0.7125,experimental
borderline_smote,18596,18596,18596,0.9108,0.7025,0.7136,0.4425,0.9401,0.7582,0.4762,0.9572,0.6505,0.4587,0.9486,0.7003,recommended
smote_tomek,18595,18583,18584,0.913,0.706,0.7229,0.4602,0.9412,0.7673,0.4483,0.9587,0.6677,0.4541,0.9499,0.714,recommended
smote_full_engineered,18596,18596,18596,0.9183,0.7085,0.7078,0.4159,0.9494,0.7582,0.4896,0.957,0.6904,0.4498,0.9531,0.7227,experimental
